deck_list,players
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||4 Giant Killer||3 Shepherd of the Flock||3 Brazen Borrower||4 Edgewall Innkeeper||2 The Great Henge||2 Questing Beast||1 Castle Ardenvale||1 Castle Vantress||2 Fabled Passage||4 Lovestruck Beast||4 Devout Decree||2 Aether Gust||4 Temple Garden||4 Hydroid Krasis||2 Temple of Mystery||4 Nissa, Who Shakes the World||4 Paradise Druid||2 Return to Nature||2 Dovin's Veto||4 Teferi, Time Raveler||2 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Carlos+Cardona"">Carlos Cardona</a>"
"<input name=""c"" type=""hidden"" value=""9 Forest||5 Swamp||1 Epic Downfall||4 Foulmire Knight||4 Murderous Rider||3 Order of Midnight||4 Edgewall Innkeeper||4 Questing Beast||2 Castle Locthwain||2 Fabled Passage||1 Garruk, Cursed Huntsman||4 Lovestruck Beast||1 Midnight Reaper||1 Assassin's Trophy||3 Temple of Malady||1 Cavalier of Night||2 Legion's End||3 Shifting Ceratops||3 Vivien, Arkbow Ranger||4 Overgrown Tomb||3 Thrashing Brontodon||4 Duress||1 Liliana, Dreadhorde General||2 Massacre Girl||4 Paradise Druid||""/>","<a class=""player"" href=""search?player=Allison+Maino"">Allison Maino</a>"
"<input name=""c"" type=""hidden"" value=""9 Forest||9 Mountain||4 Bonecrusher Giant||4 Embercleave||4 Questing Beast||2 Fabled Passage||2 Embereth Shieldbreaker||3 Lava Coil||3 Kraul Harpooner||4 Pelt Collector||4 Stomping Ground||2 Fry||4 Shifting Ceratops||2 Thrashing Brontodon||2 Cindervines||4 Gruul Spellbreaker||4 Zhur-Taa Goblin||1 Collision-Colossus||2 Nissa, Who Shakes the World||3 Paradise Druid||3 Domri's Ambush||""/>","<a class=""player"" href=""search?player=Pasi+Poikela"">Pasi Poikela</a>"
"<input name=""c"" type=""hidden"" value=""1 Disenchant||16 Plains||4 Loyal Pegasus||4 Faerie Guidemother||4 Giant Killer||2 Castle Ardenvale||3 Conclave Tribunal||4 Healer's Hawk||4 Hunted Witness||4 Venerated Loxodon||4 Hanged Executioner||4 Raise the Alarm||4 Tithe Taker||4 Unbreakable Formation||2 Gideon Blackblade||4 Gideon's Sacrifice||4 Law-Rune Enforcer||2 Rally of Wings||1 Tomik, Distinguished Advokist||""/>","<a class=""player"" href=""search?player=Qwerty.saw"">Qwerty.saw</a>"
"<input name=""c"" type=""hidden"" value=""6 Mountain||9 Swamp||4 Blood Crypt||4 Blacklance Paragon||2 Epic Downfall||2 Murderous Rider||2 Bonecrusher Giant||4 Embercleave||4 Stormfist Crusader||1 Castle Locthwain||4 Tournament Grounds||3 Embereth Shieldbreaker||4 Fervent Champion||2 Cavalier of Night||4 Knight of the Ebon Legion||2 Legion's End||2 Noxious Grasp||4 Rotting Regisaur||4 Drill Bit||4 Gutterbones||2 Spawn of Mayhem||1 Massacre Girl||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=yamakiller"">yamakiller</a>"
"<input name=""c"" type=""hidden"" value=""2 Shock||1 Forest||2 Island||1 Mountain||4 Breeding Pool||4 Brazen Borrower||2 Mystical Dispute||2 Castle Vantress||1 Fabled Passage||3 Chemister's Insight||1 Niv-Mizzet, Parun||4 Expansion-Explosion||4 Steam Vents||4 Stomping Ground||4 Opt||4 Temple of Epiphany||4 Flame Sweep||3 Fry||4 Shifting Ceratops||3 Negate||2 Biogenic Ooze||4 Wilderness Reclamation||4 Growth Spiral||4 Temple of Mystery||4 Arboreal Grazer||""/>","<a class=""player"" href=""search?player=Kenji+Egashira"">Kenji Egashira</a>"
"<input name=""c"" type=""hidden"" value=""8 Forest||6 Swamp||2 Epic Downfall||4 Foulmire Knight||4 Murderous Rider||2 Order of Midnight||4 Edgewall Innkeeper||3 The Great Henge||3 Questing Beast||2 Fabled Passage||4 Lovestruck Beast||1 Kraul Harpooner||4 Temple of Malady||2 Noxious Grasp||4 Rotting Regisaur||2 Shifting Ceratops||4 Vivien, Arkbow Ranger||4 Overgrown Tomb||3 Thrashing Brontodon||3 Duress||4 Paradise Druid||2 Casualties of War||""/>","<a class=""player"" href=""search?player=Chris+Kvartek"">Chris Kvartek</a>"
"<input name=""c"" type=""hidden"" value=""6 Mountain||9 Swamp||4 Blood Crypt||4 Blacklance Paragon||2 Epic Downfall||2 Murderous Rider||2 Bonecrusher Giant||4 Embercleave||4 Stormfist Crusader||1 Castle Locthwain||4 Tournament Grounds||3 Embereth Shieldbreaker||2 Rankle, Master of Pranks||4 Fervent Champion||4 Knight of the Ebon Legion||2 Legion's End||2 Noxious Grasp||4 Rotting Regisaur||4 Drill Bit||4 Gutterbones||2 Duress||1 Massacre Girl||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Sofian+Wongosari"">Sofian Wongosari</a>"
"<input name=""c"" type=""hidden"" value=""8 Forest||6 Swamp||4 Foulmire Knight||4 Murderous Rider||3 Order of Midnight||4 Edgewall Innkeeper||1 The Great Henge||4 Questing Beast||2 Castle Locthwain||1 Fabled Passage||4 Lovestruck Beast||1 Rankle, Master of Pranks||4 Temple of Malady||2 Cavalier of Night||3 Legion's End||2 Shifting Ceratops||1 Vivien, Arkbow Ranger||4 Overgrown Tomb||2 Thrashing Brontodon||4 Duress||1 Liliana, Dreadhorde General||2 Massacre Girl||4 Paradise Druid||4 Casualties of War||""/>","<a class=""player"" href=""search?player=Isaak+Krut"">Isaak Krut</a>"
"<input name=""c"" type=""hidden"" value=""1 Disenchant||3 Island||2 Mountain||1 Plains||4 Hallowed Fountain||4 Mystical Dispute||3 Bonecrusher Giant||4 Fires of Invention||2 Castle Vantress||2 Fabled Passage||2 Kenrith, the Returned King||4 Deafening Clarion||3 Justice Strike||4 Steam Vents||3 Temple of Epiphany||1 Devout Decree||2 Aether Gust||4 Cavalier of Gales||1 Drawn from Dreams||4 Cavalier of Flame||3 Sacred Foundry||4 Tithe Taker||4 Sphinx of Foresight||3 Temple of Triumph||4 Teferi, Time Raveler||2 Time Wipe||1 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Okai+Toshiki"">Okai Toshiki</a>"
