player,url,deck_name,num,card_name,card_rarity
TopGrinder,https://www.mtgtop8.com/event?e=24240&d=369213&f=ST,Jund_Sacrifice,5,Forest,common
Matt_Foreman,https://www.mtgtop8.com/event?e=24055&d=367892&f=ST,Jund_Sacrifice,4,Forest,common
Earl_Marchant,https://www.mtgtop8.com/event?e=24177&d=368760&f=ST,Gruul_Aggro,9,Forest,common
Shimokawabe_Akinari,https://www.mtgtop8.com/event?e=23749&d=364936&f=ST,Selesnya_Aggro,9,Forest,common
Serputko_Vyacheslav,https://www.mtgtop8.com/event?e=23734&d=364790&f=ST,Gruul_Aggro,2,Shock,common
Kat_Light,https://www.mtgtop8.com/event?e=23942&d=366802&f=ST,Golgari_Sacrifice,10,Forest,common
Ryan_Tobin,https://www.mtgtop8.com/event?e=23884&d=366186&f=ST,Azorius_Control,1,Planar Cleansing,rare
Savin_Victor,https://www.mtgtop8.com/event?e=23734&d=364783&f=ST,Mono-blac_Aggro,21,Swamp,common
Keno_Bulk,https://www.mtgtop8.com/event?e=23838&d=365752&f=ST,Sultai_Control,6,Forest,common
VTCLA,https://www.mtgtop8.com/event?e=24012&d=367415&f=ST,Sultai_Control,8,Forest,common
Rémi_D'emmerez,https://www.mtgtop8.com/event?e=23754&d=364990&f=ST,Sultai_Oko-less,5,Forest,common
Antti_Malin,https://www.mtgtop8.com/event?e=23996&d=367288&f=ST,RDW,4,Shock,common
dominizzi,,,3,Forest,common
Chris_Barone,https://www.mtgtop8.com/event?e=24032&d=367638&f=ST,Adventure,8,Forest,common
Moodgravy,https://www.mtgtop8.com/event?e=24107&d=368233&f=ST,Simic_Ramp,9,Forest,common
Yumcheuk,https://www.mtgtop8.com/event?e=24131&d=368428&f=ST,UW_Control,4,Planar Cleansing,rare
Ryan_Cubit,https://www.mtgtop8.com/event?e=23953&d=366922&f=ST,Mardu_Knights,4,Mountain,common
Charlie_Finnegan,https://www.mtgtop8.com/event?e=24177&d=368758&f=ST,Adventure,7,Forest,common
xhpc007,https://www.mtgtop8.com/event?e=23763&d=365034&f=ST,Sultai_Sacrifice,5,Forest,common
Littlemastercz,https://www.mtgtop8.com/event?e=24012&d=367412&f=ST,Golgari_Aggro,2,Forest,common
Littlemastercz,https://www.mtgtop8.com/event?e=24200&d=368896&f=ST,Sultai_Ramp,2,Forest,common
Al-malik_Ali,https://www.mtgtop8.com/event?e=23827&d=365668&f=ST,Esper_DOOM,1,Planar Cleansing,rare
Gregory_Ervin,https://www.mtgtop8.com/event?e=23721&d=364651&f=ST,Sultai_Control,3,Forest,common
Keenan_Davidson,https://www.mtgtop8.com/event?e=24225&d=369069&f=ST,Fires_of_Invention,2,Disenchant,common
Christian_Pearse,https://www.mtgtop8.com/event?e=23704&d=364533&f=ST,Esper_DOOM,1,Planar Cleansing,rare
Andrew_Cuneo,https://www.mtgtop8.com/event?e=23942&d=366774&f=ST,Izzet_Flash,9,Island,common
pokerswizard,https://www.mtgtop8.com/event?e=24131&d=368421&f=ST,Red_Deck_Wins,3,Shock,common
Gotou_Hiroaki,https://www.mtgtop8.com/event?e=24084&d=368100&f=ST,Gruul_Aggro,9,Forest,common
AliEnWaRe_,https://www.mtgtop8.com/event?e=24240&d=369203&f=ST,Red_Deck_Wins,4,Shock,common
Noble_Solana_Walkinshaw,https://www.mtgtop8.com/event?e=24112&d=368266&f=ST,Jund_Sacrifice,5,Forest,common
Vincent_Reiter,https://www.mtgtop8.com/event?e=23982&d=367130&f=ST,Izzet_Control,2,Shock,common
Honda_Rintarou,https://www.mtgtop8.com/event?e=24122&d=368349&f=ST,Adventure,7,Forest,common
Lin_Shun_Tan,https://www.mtgtop8.com/event?e=24144&d=368503&f=ST,Rakdos_Aggro,6,Mountain,common
Mesklatebrother,https://www.mtgtop8.com/event?e=24137&d=368459&f=ST,Selesnya_Aggro,8,Forest,common
Patrick_K,https://www.mtgtop8.com/event?e=23716&d=364616&f=ST,Gruul_Aggro,2,Shock,common
Noah_Strasler,https://www.mtgtop8.com/event?e=24225&d=369062&f=ST,Simic_Flash,7,Forest,common
MatheusPonciano,https://www.mtgtop8.com/event?e=24240&d=369207&f=ST,Rakdos_Aggro,6,Mountain,common
Anthony_P,https://www.mtgtop8.com/event?e=23716&d=364619&f=ST,Sultai_Sacrifice,3,Forest,common
Tgp_kroge,https://www.mtgtop8.com/event?e=24042&d=367733&f=ST,Simic_Ramp_Flash,7,Forest,common
Ben_Rasmussen,https://www.mtgtop8.com/event?e=24037&d=367688&f=ST,Ug_Flash,7,Forest,common
Nathaniel_Richie,https://www.mtgtop8.com/event?e=23997&d=367302&f=ST,Gruul_Aggro,3,Shock,common
Stepehen_John_Acebuque,https://www.mtgtop8.com/event?e=24144&d=368501&f=ST,Rakdos_Aggro,6,Mountain,common
Klimczur,https://www.mtgtop8.com/event?e=24240&d=369210&f=ST,Fires_of_Invention,1,Disenchant,common
Travis_Bryant,https://www.mtgtop8.com/event?e=23997&d=367296&f=ST,Boros_Aggro,2,Disenchant,common
Gabryel_Laporte,https://www.mtgtop8.com/event?e=23795&d=365361&f=ST,Temur_Reclamation,1,Forest,common
Daniel_Vega,https://www.mtgtop8.com/event?e=23942&d=366786&f=ST,Sultai_Ramp,8,Forest,common
jumpingjack17,https://www.mtgtop8.com/event?e=23925&d=366571&f=ST,Izzet_Control,2,Shock,common
Darren_Kopatz,https://www.mtgtop8.com/event?e=23838&d=365754&f=ST,Sultai_Control,6,Forest,common
ACG88,https://www.mtgtop8.com/event?e=24240&d=369204&f=ST,Sultai_Ramp,2,Forest,common
Phill_Hellmuth,https://www.mtgtop8.com/event?e=24240&d=369206&f=ST,Simic_Flash,7,Forest,common
Kade_Cantergiani,https://www.mtgtop8.com/event?e=24055&d=367891&f=ST,Izzet_Control,9,Island,common
Brandon_Krussow,https://www.mtgtop8.com/event?e=23943&d=366839&f=ST,White_Weenie,17,Plains,common
Phillip_Stanley,https://www.mtgtop8.com/event?e=24059&d=367922&f=ST,Temur_Reclamation,1,Forest,common
Thomas_Barker,https://www.mtgtop8.com/event?e=23955&d=366941&f=ST,Adventure,8,Forest,common
Y_uran,https://www.mtgtop8.com/event?e=23796&d=365373&f=ST,Red_Aggro,2,Act of Treason,common
Zan_Syed,https://www.mtgtop8.com/event?e=24032&d=367627&f=ST,Simic_Ramp_Elemental,10,Forest,common
