,num,name
379,2,Aether Gust
380,1,"Chandra, Awakened Inferno"
381,1,Flame Sweep
382,1,Mass Manipulation
383,4,Growth Spiral
384,3,Hydroid Krasis
385,1,Fling
386,3,Temple of Mystery
387,4,"Nissa, Who Shakes the World"
388,1,Planewide Celebration
389,1,Return to Nature
390,1,"Sorcerous Spyglass, "
391,4,Forest
392,2,Island
393,2,Mountain
394,4,Breeding Pool
395,3,Brazen Borrower
396,4,Fae of Wishes
397,4,Mystical Dispute
398,4,Bonecrusher Giant
399,4,Beanstalk Giant
400,2,Escape to the Wilds
401,4,Lucky Clover
402,1,Castle Vantress
403,1,Lava Coil
404,1,Expansion-Explosion
405,4,Steam Vents
406,4,Stomping Ground
407,3,Temple of Epiphany
408,1,Disdainful Stroke
409,2,Aether Gust
410,1,"Chandra, Awakened Inferno"
411,1,Flame Sweep
412,1,Mass Manipulation
413,4,Growth Spiral
414,3,Hydroid Krasis
415,1,Fling
416,3,Temple of Mystery
417,4,"Nissa, Who Shakes the World"
418,1,Planewide Celebration
419,1,Return to Nature
420,1,"Sorcerous Spyglass, "
421,1,Planar Cleansing
422,6,Plains
423,5,Swamp
424,2,Murderous Rider
425,4,Doom Foretold
426,4,Golden Egg
427,1,Castle Ardenvale
428,3,Castle Locthwain
429,3,Fabled Passage
430,1,Dawn of Hope
431,4,Godless Shrine
432,3,Cavalier of Dawn
433,2,Devout Decree
434,2,Noxious Grasp
435,2,Cry of the Carnarium
436,3,Basilica Bell-Haunt
437,1,"Kaya, Orzhov Usurper"
438,3,Kaya's Wrath
439,4,Temple of Silence
440,3,Duress
441,1,"Ugin, the Ineffable"
442,2,Prison Realm
443,1,Command the Dreadhorde
444,3,"Davriel, Rogue Shadowmage"
445,2,The Elderspell
446,3,"Liliana, Dreadhorde General"
447,4,Oath of Kaya
448,2,"Sorcerous Spyglass, "
449,1,Planar Cleansing
450,6,Plains
451,5,Swamp
452,2,Murderous Rider
453,4,Doom Foretold
454,4,Golden Egg
455,1,Castle Ardenvale
456,3,Castle Locthwain
457,3,Fabled Passage
458,1,Dawn of Hope
459,4,Godless Shrine
460,3,Cavalier of Dawn
461,2,Devout Decree
462,2,Noxious Grasp
463,2,Cry of the Carnarium
464,3,Basilica Bell-Haunt
465,1,"Kaya, Orzhov Usurper"
466,3,Kaya's Wrath
467,4,Temple of Silence
468,3,Duress
469,1,"Ugin, the Ineffable"
470,2,Prison Realm
471,1,Command the Dreadhorde
472,3,"Davriel, Rogue Shadowmage"
473,2,The Elderspell
474,3,"Liliana, Dreadhorde General"
475,4,Oath of Kaya
476,2,"Sorcerous Spyglass, "
477,1,Planar Cleansing
478,6,Plains
479,5,Swamp
480,2,Murderous Rider
481,4,Doom Foretold
482,4,Golden Egg
483,1,Castle Ardenvale
484,3,Castle Locthwain
485,3,Fabled Passage
486,1,Dawn of Hope
487,4,Godless Shrine
488,3,Cavalier of Dawn
489,2,Devout Decree
490,2,Noxious Grasp
491,2,Cry of the Carnarium
492,3,Basilica Bell-Haunt
493,1,"Kaya, Orzhov Usurper"
494,3,Kaya's Wrath
495,4,Temple of Silence
496,3,Duress
497,1,"Ugin, the Ineffable"
498,2,Prison Realm
499,1,Command the Dreadhorde
500,3,"Davriel, Rogue Shadowmage"
501,2,The Elderspell
502,3,"Liliana, Dreadhorde General"
503,4,Oath of Kaya
504,2,"Sorcerous Spyglass, "
505,1,Planar Cleansing
506,6,Plains
507,5,Swamp
508,2,Murderous Rider
509,4,Doom Foretold
510,4,Golden Egg
511,1,Castle Ardenvale
512,3,Castle Locthwain
513,3,Fabled Passage
514,1,Dawn of Hope
515,4,Godless Shrine
516,3,Cavalier of Dawn
517,2,Devout Decree
518,2,Noxious Grasp
519,2,Cry of the Carnarium
520,3,Basilica Bell-Haunt
521,1,"Kaya, Orzhov Usurper"
522,3,Kaya's Wrath
523,4,Temple of Silence
524,3,Duress
525,1,"Ugin, the Ineffable"
526,2,Prison Realm
527,1,Command the Dreadhorde
528,3,"Davriel, Rogue Shadowmage"
529,2,The Elderspell
530,3,"Liliana, Dreadhorde General"
531,4,Oath of Kaya
532,2,"Sorcerous Spyglass, "
533,6,Forest
534,2,Island
535,2,Mountain
536,4,Breeding Pool
537,4,Brazen Borrower
538,4,Fae of Wishes
539,3,Mystical Dispute
540,4,Bonecrusher Giant
541,4,Beanstalk Giant
542,4,Edgewall Innkeeper
543,1,Once and Future
544,4,Escape to the Wilds
545,4,Lucky Clover
546,4,Lovestruck Beast
547,1,Expansion-Explosion
548,4,Steam Vents
549,4,Stomping Ground
550,1,Temple of Epiphany
551,1,"Chandra, Awakened Inferno"
552,1,Flame Sweep
553,1,Negate
554,2,Growth Spiral
555,1,Fling
556,3,Temple of Mystery
557,1,Planewide Celebration
558,3,Return to Nature
559,1,"Tamiyo, Collector of Tales"
560,1,"Sorcerous Spyglass, "
561,6,Forest
562,2,Island
563,2,Mountain
564,4,Breeding Pool
565,4,Brazen Borrower
566,4,Fae of Wishes
567,2,Mystical Dispute
568,4,Bonecrusher Giant
569,4,Beanstalk Giant
570,4,Edgewall Innkeeper
571,1,Once and Future
572,4,Escape to the Wilds
573,4,Lucky Clover
574,4,Lovestruck Beast
575,1,Lava Coil
576,1,Expansion-Explosion
577,4,Steam Vents
578,4,Stomping Ground
579,1,Temple of Epiphany
580,1,"Chandra, Awakened Inferno"
581,1,Flame Sweep
582,1,Negate
583,1,Mass Manipulation
584,2,Growth Spiral
585,1,Fling
586,3,Temple of Mystery
587,1,Planewide Celebration
588,2,Return to Nature
589,1,Crushing Canopy
590,1,"Sorcerous Spyglass, "
591,8,Forest
592,5,Swamp
593,2,Epic Downfall
594,4,Foulmire Knight
595,4,Murderous Rider
596,2,Order of Midnight
597,4,Edgewall Innkeeper
598,3,The Great Henge
599,4,Questing Beast
600,1,Castle Locthwain
601,2,Fabled Passage
602,4,Lovestruck Beast
603,1,Assassin's Trophy
604,4,Temple of Malady
605,2,Noxious Grasp
606,4,Rotting Regisaur
607,2,Shifting Ceratops
608,3,"Vivien, Arkbow Ranger"
609,4,Overgrown Tomb
610,3,Thrashing Brontodon
611,3,Duress
612,1,Massacre Girl
613,4,Paradise Druid
614,1,"Casualties of War, "
615,7,Forest
616,11,Swamp
617,2,Epic Downfall
618,4,Foulmire Knight
619,4,Murderous Rider
620,4,Order of Midnight
621,2,Reaper of Night
622,4,Smitten Swordmaster
623,2,Beanstalk Giant
624,4,Edgewall Innkeeper
625,4,Lucky Clover
626,2,Fabled Passage
627,4,Lovestruck Beast
628,2,Midnight Reaper
629,2,Assassin's Trophy
630,2,"Vraska, Golgari Queen"
631,1,Temple of Malady
632,1,Noxious Grasp
633,2,Shifting Ceratops
634,4,Overgrown Tomb
635,2,Duress
636,1,Massacre Girl
637,3,Casualties of War
638,1,"Disfigure, "
639,7,Forest
640,11,Swamp
641,2,Epic Downfall
642,4,Foulmire Knight
643,4,Murderous Rider
644,4,Order of Midnight
645,2,Reaper of Night
646,4,Smitten Swordmaster
647,2,Beanstalk Giant
648,4,Edgewall Innkeeper
649,4,Lucky Clover
650,2,Fabled Passage
651,4,Lovestruck Beast
652,2,Midnight Reaper
653,2,Assassin's Trophy
654,2,"Vraska, Golgari Queen"
655,1,Temple of Malady
656,1,Noxious Grasp
657,2,Shifting Ceratops
658,4,Overgrown Tomb
659,2,Duress
660,1,Massacre Girl
661,3,Casualties of War
662,1,"Disfigure, "
663,8,Forest
664,3,Island
665,2,Swamp
666,4,Breeding Pool
667,3,Mystical Dispute
668,2,Epic Downfall
669,3,Gilded Goose
670,3,Circuitous Route
671,1,Assassin's Trophy
672,2,Temple of Malady
673,4,Noxious Grasp
674,4,Cavalier of Thorns
675,3,Shifting Ceratops
676,2,Voracious Hydra
677,4,Overgrown Tomb
678,4,Watery Grave
679,4,Growth Spiral
680,4,Hydroid Krasis
681,1,Temple of Mystery
682,2,Duress
683,4,Arboreal Grazer
684,4,"Nissa, Who Shakes the World"
685,4,"Casualties of War, "
686,8,Forest
687,3,Island
688,2,Swamp
