deck_list,players
"<input name=""c"" type=""hidden"" value=""6 Forest||5 Island||4 Breeding Pool||4 Hallowed Fountain||2 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||1 Disdainful Stroke||3 Aether Gust||2 Veil of Summer||3 Voracious Hydra||1 Negate||4 Temple Garden||3 Thrashing Brontodon||3 Mass Manipulation||1 Deputy of Detention||1 Growth Spiral||3 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=Jeremy+Dezani"">Jeremy Dezani</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||5 Island||4 Breeding Pool||4 Hallowed Fountain||1 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||3 Aether Gust||2 Veil of Summer||4 Voracious Hydra||2 Negate||4 Temple Garden||3 Thrashing Brontodon||3 Mass Manipulation||1 Deputy of Detention||3 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||4 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=MountainMaster13"">MountainMaster13</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||5 Island||4 Breeding Pool||4 Hallowed Fountain||2 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||3 Aether Gust||2 Veil of Summer||2 Voracious Hydra||2 Negate||4 Temple Garden||3 Thrashing Brontodon||3 Mass Manipulation||1 Growth Spiral||3 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Teferi, Time Raveler||2 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Nicolas+Delvalle"">Nicolas Delvalle</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||5 Island||4 Breeding Pool||4 Hallowed Fountain||1 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||3 Aether Gust||2 Veil of Summer||4 Voracious Hydra||2 Negate||4 Temple Garden||3 Thrashing Brontodon||3 Mass Manipulation||2 Growth Spiral||3 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||3 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=Patxi"">Patxi</a>"
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Island||2 Plains||4 Breeding Pool||4 Hallowed Fountain||3 Mystical Dispute||4 Gilded Goose||4 Oko, Thief of Crowns||2 Castle Vantress||3 Fabled Passage||2 Conclave Tribunal||2 Knight of Autumn||3 Devout Decree||3 Veil of Summer||2 Negate||3 Temple Garden||2 Mass Manipulation||3 Growth Spiral||4 Hydroid Krasis||3 Temple of Mystery||3 Arboreal Grazer||4 Nissa, Who Shakes the World||1 Tamiyo, Collector of Tales||4 Teferi, Time Raveler||4 Time Wipe||""/>","<a class=""player"" href=""search?player=pepeteam"">pepeteam</a>"
"<input name=""c"" type=""hidden"" value=""5 Forest||1 Island||1 Plains||3 Breeding Pool||4 Hallowed Fountain||2 Mystical Dispute||4 Gilded Goose||4 Wicked Wolf||2 Castle Vantress||1 Fabled Passage||2 Kenrith, the Returned King||1 Disdainful Stroke||2 Aether Gust||1 Agent of Treachery||4 Leafkin Druid||4 Risen Reef||2 Negate||4 Temple Garden||1 Angel of Grace||1 Mass Manipulation||1 Frilled Mystic||4 Hydroid Krasis||3 Temple of Mystery||1 Finale of Revelation||4 Nissa, Who Shakes the World||3 Paradise Druid||1 Tamiyo, Collector of Tales||4 Teferi, Time Raveler||3 Time Wipe||2 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Popov+Stanislav"">Popov Stanislav</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||5 Island||4 Breeding Pool||4 Hallowed Fountain||1 Mystical Dispute||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Castle Vantress||1 Disdainful Stroke||3 Aether Gust||3 Veil of Summer||4 Voracious Hydra||1 Negate||4 Temple Garden||3 Thrashing Brontodon||3 Mass Manipulation||3 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||4 Teferi, Time Raveler||""/>","<a class=""player"" href=""search?player=Thierry+Ramboa"">Thierry Ramboa</a>"
"<input name=""c"" type=""hidden"" value=""7 Forest||2 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||3 Glass Casket||4 Gilded Goose||4 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||2 Fabled Passage||2 Knight of Autumn||2 Devout Decree||4 Aether Gust||3 Veil of Summer||4 Negate||4 Temple Garden||4 Hydroid Krasis||4 Nissa, Who Shakes the World||4 Paradise Druid||4 Teferi, Time Raveler||2 Time Wipe||""/>","<a class=""player"" href=""search?player=Vicent+Silvestre"">Vicent Silvestre</a>"
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Island||2 Plains||4 Breeding Pool||4 Hallowed Fountain||3 Mystical Dispute||4 Gilded Goose||4 Oko, Thief of Crowns||2 Castle Vantress||3 Fabled Passage||2 Conclave Tribunal||2 Knight of Autumn||3 Devout Decree||3 Veil of Summer||2 Negate||3 Temple Garden||2 Mass Manipulation||3 Growth Spiral||4 Hydroid Krasis||3 Temple of Mystery||3 Arboreal Grazer||4 Nissa, Who Shakes the World||1 Tamiyo, Collector of Tales||4 Teferi, Time Raveler||4 Time Wipe||""/>","<a class=""player"" href=""search?player=_Tia93_"">_Tia93_</a>"
"<input name=""c"" type=""hidden"" value=""6 Forest||1 Island||1 Plains||4 Breeding Pool||4 Hallowed Fountain||3 Brazen Borrower||3 Mystical Dispute||4 Gilded Goose||3 Once Upon a Time||4 Wicked Wolf||4 Oko, Thief of Crowns||1 Castle Vantress||2 Fabled Passage||4 Knight of Autumn||3 Aether Gust||3 Veil of Summer||4 Temple Garden||2 Mass Manipulation||4 Hydroid Krasis||2 Temple of Mystery||4 Nissa, Who Shakes the World||4 Paradise Druid||1 Tamiyo, Collector of Tales||3 Teferi, Time Raveler||1 Tolsimir, Friend to Wolves||""/>","<a class=""player"" href=""search?player=Alessio+Magris"">Alessio Magris</a>"
